customer_id,first_name,last_name,email,phone,country,created_at
bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Bob,Smith,bob.smith0@example.com,+14501958682846,CA,2024-07-06
8fadc1a6-06cb-0fb3-9a1d-e644815ef6d1,Grace,Smith,grace.smith1@yahoo.com,4234903402,JP,2025-07-20
47229389-571a-a876-6c30-7511b2b9437a,Hank,Anderson,hank.anderson2@yahoo.com,2063678638,DE,2025-03-23
0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,Bob,Jones,bob.jones3@hotmail.com,5676770619,CA,2025-02-08
11ce5dd2-b45e-d1f0-3139-d32c93cd59bf,Bob,Taylor,bob.taylor4@gmail.com,8437067228,DE,2025-05-10
29a3b2e9-5d65-a441-d588-42dea2bc372f,Bob,Brown,bob.brown5@outlook.com,+15896488854841,AU,2025-07-31
fd5166e6-451b-4cf3-6123-fdf77656af72,Eve,Jones,eve.jones6@example.com,+13752051454923,DE,2024-03-31
3602f8ac-10f1-bc81-448a-aa9e66b2bc5b,Frank,Smith,frank.smith7@example.com,2326292423,AU,2025-07-28
beb79919-3f22-faf8-23be-d01d43cf2fde,Hank,Wilson,hank.wilson8@example.com,+18582970753705,FR,2024-07-12
c17af08a-1745-d6d8-7e57-0ddf827050a8,Grace,Anderson,grace.anderson9@gmail.com,4243320821,CA,2025-09-27
877409a9-77d2-1e02-ff01-cf99988c24c9,Carol,Wilson,carol.wilson10@outlook.com,5947402509,US,2024-04-05
287d06ca-6f4c-c69a-4b22-d3081c8eaee9,Bob,Taylor,bob.taylor11@hotmail.com,+19878047877267,US,2025-06-06
9be578c7-81f6-31d4-a392-31a7d777a477,Iris,Williams,iris.williams12@yahoo.com,3086007072,GB,2025-02-13
04fc6d82-7d15-4385-52fb-e43b99546eb4,Carol,Taylor,carol.taylor13@gmail.com,+17434944899549,AU,2025-04-22
d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,Dave,Smith,dave.smith14@gmail.com,7802321324,GB,2025-10-22
8a0f4efb-edcd-465e-3638-6821f6e07cc0,Hank,Taylor,hank.taylor15@yahoo.com,7408099076,FR,2025-01-18
05628059-568c-c69b-1064-005c3985c3cf,Frank,Moore,frank.moore16@example.com,+16621519709079,DE,2024-07-08
080aadfb-e7c9-9b26-1141-25c63a9bedd4,Dave,Smith,dave.smith17@outlook.com,8461987737,CA,2024-09-22
922fe15a-e1e3-db63-ef7d-dc76b92da22b,Dave,Davis,dave.davis18@example.com,+14193315992115,BR,2025-06-27
778eedb3-693d-ffbc-6c6f-a6115ab33edf,Hank,Wilson,hank.wilson19@gmail.com,2998231838,CA,2025-12-30
23e2fcb4-72d8-567d-894a-05e430b187ef,Grace,Miller,grace.miller20@hotmail.com,+13112067970820,GB,2025-05-21
8a63f881-ffd0-f9d5-a6f2-f7b80cf35b58,Hank,Brown,hank.brown21@gmail.com,+12773363629219,CA,2025-07-03
610461e3-2a25-a888-0f02-bad0e7067ef4,Carol,Wilson,carol.wilson22@gmail.com,4187728339,JP,2025-06-04
37bb3eec-4bf5-0b52-309d-258c27a0c3d7,Hank,Davis,hank.davis23@gmail.com,9489164991,US,2025-04-15
82010c62-f5f5-9b22-0e8f-a8e0284d82e5,Alice,Smith,alice.smith24@gmail.com,7149910817,GB,2025-12-22
3f07f814-91d6-3f78-e3e9-de99f10c718b,Jack,Jones,jack.jones25@example.com,+14402734202799,US,2024-06-06
ab73295b-344a-54b8-42c1-8a62ef48e8d5,Bob,Wilson,bob.wilson26@outlook.com,+17787540301973,DE,2025-06-04
12922f83-ef8c-485b-c07a-30f2edd4253b,Grace,Williams,grace.williams27@gmail.com,+15077258731893,BR,2024-06-04
5958a499-eeea-163e-21e8-ac6843e42caf,Jack,Jones,jack.jones28@gmail.com,4189487336,DE,2025-02-17
ce9e1a11-fcbb-4e59-fbdd-cf7c9c96e9ec,Eve,Williams,eve.williams29@example.com,7566075395,US,2024-04-18
be0f051b-1b66-b5a9-e3c4-36571d8cbbac,Iris,Davis,iris.davis30@example.com,+13065871743247,GB,2025-05-28
439472e6-da58-7e8a-a25d-6b29afffcfd2,Eve,Anderson,eve.anderson31@example.com,5514415796,BR,2025-06-18
a319dcb4-217d-65a0-c568-11cd5563f616,Alice,Jones,alice.jones32@outlook.com,+14831189351213,GB,2024-12-05
e767dcea-b0e6-a969-e213-42b0f1eedba3,Iris,Wilson,iris.wilson33@yahoo.com,3142262382,US,2025-02-17
eededb07-e623-a689-5d59-cd2a4eea04e7,Jack,Taylor,jack.taylor34@gmail.com,3301701771,AU,2025-07-30
2790cebd-bfdd-c3d9-9ee3-ac2af94d6204,Dave,Jones,dave.jones35@yahoo.com,7737817881,GB,2025-09-02
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Grace,Smith,grace.smith36@yahoo.com,5407907400,FR,2025-09-20
598336e3-75d6-6ed4-eb1f-a9f2d10bd1d0,Bob,Wilson,bob.wilson37@outlook.com,+16811955345537,DE,2025-07-17
59e4b671-4774-bc58-c5f8-bc16f7860b50,Alice,Brown,alice.brown38@example.com,4852164686,JP,2024-04-06
43f59a85-fbc9-f87a-f668-a61794a1875d,Iris,Miller,iris.miller39@gmail.com,+13182121910732,CA,2024-06-30
41357e8c-30a9-00ad-939b-462de645f129,Grace,Miller,grace.miller40@gmail.com,+15215791662169,JP,2026-03-01
aa0b7b14-f2e9-702d-11e9-cdaa6e6981a3,Iris,Taylor,iris.taylor41@outlook.com,+19596141226746,AU,2024-04-22
4bb00f20-b27c-4026-6703-b6365380b904,Bob,Davis,bob.davis42@example.com,8827851696,GB,2025-08-18
4dcabfb7-001a-9a8b-d56f-03508c459ce2,Grace,Wilson,grace.wilson43@outlook.com,+13786587537178,DE,2024-12-17
7922bac2-82dc-4c8e-36b5-229aacf5e81e,Jack,Anderson,jack.anderson44@yahoo.com,+16767192423780,CA,2025-05-16
ce7ae7f6-3982-0cff-4f77-a665ac3c5640,Iris,Anderson,iris.anderson45@yahoo.com,9694940441,GB,2026-02-05
935f2b0a-a138-4ddc-e2d9-de5d6a18ce4c,Alice,Brown,alice.brown46@yahoo.com,+18255607762160,JP,2024-10-12
